IRF7	IFITM1	1.4868072635055474
STAT3	NFKB2	1.4707611774204339
IRF7	DRAP1	1.464847903369568
IRF7	IFI6	1.464558215542826
IRF1	GBP5	1.4634392969330845
NFKB1	YIF1A	1.4630058202945515
HSF2	PLEKHA1	1.4628266394358396
NFKB2	IFITM1	1.4623919643993732
NFKB2	YIF1A	1.4612555462619794
IRF1	SYNE2	1.4595848581444315
STAT1	SYNE2	1.4593766155988082
NFKB2	AURKAIP1	1.4525597537241457
STAT1	TRIM22	1.4518920703946478
BATF3	LAG3	1.451748081410322
HSF2	ZNF33B	1.4516927592782864
LEF1	PLEKHA1	1.4495612226039312
TGIF2	GCH1	1.4471668059397405
STAT3	TMEM135	1.4471306237179966
BATF	TINF2	1.4468780997359325
STAT3	IFITM1	1.4446398056081093
NFIL3	RFX5	1.443280048131437
STAT3	ZC3H12A	1.442821843331097
STAT3	DUSP5	1.4421210106113127
PRDM1	NFKBIA	1.4419526131108513
NFIL3	NFKBIA	1.4407021567616138
NFKB1	AURKAIP1	1.4406717442534085
HSF2	DGKA	1.4404334624073987
PRDM1	SH2D2A	1.4401499684796408
STAT3	IRF7	1.4395810606674666
HIF1A	NFKB2	1.4391142796648917
IRF1	TRIM22	1.4387362774932426
BATF	CACYBP	1.438401467042388
IRF7	PARP11	1.4379069216652554
STAT3	RBM8A	1.4377090321988233
POU5F1	ZMYM2	1.4373490437554837
IRF7	NFKBIA	1.4373353151892654
BATF	HSPH1	1.4373043190937693
NFIL3	UBE2T	1.4366219958219253
NFKB2	STIP1	1.436570017475557
RBPJ	RGS16	1.4362579422080861
NFKB2	PMF1	1.4362009615378246
IRF1	PSME1	1.43537224808887
RELB	AURKAIP1	1.435005427829149
NFKB2	PA2G4	1.4348566304564412
STAT3	PMF1	1.4344721505261269
NFIA	LRRC20	1.4342341111004187
IRF7	PWWP2B	1.4337339542874106
BATF3	TINF2	1.4335368605465182
STAT3	TRIM21	1.432396143076403
IRF1	DRAP1	1.4321523258464028
RBPJ	IER5	1.4317273767482195
MAF	CACYBP	1.43123363643915
STAT1	DRAP1	1.429331528461275
IRF7	HIF1A	1.4281701631260135
RFX5	DPAGT1	1.428077462219093
RELB	HSP90AA1	1.4280204970508081
IRF7	TOMM40L	1.4278047734479031
STAT1	PSME1	1.4272493283661416
IRF7	SLC25A28	1.4266660563417948
IRF7	GCH1	1.4266603667007507
HIC2	TRAF3IP3	1.4261471583332548
STAT3	LDHA	1.42584769460679
BATF	STIP1	1.4255847877396286
BATF	PSME1	1.425347704334708
EGR2	YIF1A	1.425015681746906
BHLHE40	NFKB2	1.4247161754507862
ETV6	ATL3	1.4244297877665708
NFIL3	PRMT5	1.424406584572853
TGIF2	GOLT1B	1.4242301181655963
MAFG	MAPKAPK5	1.4230972006848392
MAF	TUBA1B	1.4225095916148909
RBPJ	HNRNPF	1.4224264159939497
DBP	TMEM41B	1.4224143265181808
MAF	COX6A1	1.4223226731076448
ZBTB7B	ATL3	1.4219430807436249
FOXP1	BUB3	1.421812867141395
SREBF2	SRM	1.4215763193824347
IRF8	STAT2	1.4214978434237322
IRF1	IFITM1	1.4210468765819324
STAT1	IFITM1	1.4210352944785678
HIC2	ZNF33B	1.4208356583644237
POU5F1	CCDC84	1.4202943206025962
STAT1	NFKBIA	1.4201654948146638
HIC2	BCL9L	1.4199047836676972
LEF1	ZNF33B	1.4198007081039887
DBP	TC2N	1.4196960249036001
STAT1	NFKB2	1.419045862921765
RBPJ	TINF2	1.4188031870350224
BATF	CPSF6	1.4186932302595843
RELB	PTPN7	1.41867311083229
MAF	CARS	1.4183864102722534
TGIF2	YARS	1.4180946597731614
RBPJ	PSMA3	1.4179269211670635
RUNX3	IFITM1	1.4179000166113802
HIC2	GRK5	1.4176500258665723
SREBF2	PRMT5	1.4175703140494222
SRF	USP5	1.4173103310439066
HSF2	THEM4	1.4170924546712005
ZEB1	BSDC1	1.4169781679598992
BATF	HIF1A	1.4160492597328673
STAT1	PARP11	1.4157623197689477
TP53	GPR137	1.4154696292451097
MAF	PSMC3	1.41514226786202
MAF	UBE2T	1.4150477052702592
PLAG1	ZMYM2	1.414997390774868
E2F6	RGS16	1.4147009642374897
SREBF2	SDHB	1.4145924133080034
ETV6	AURKAIP1	1.4144476693573063
E2F4	PA2G4	1.4141618695657154
PRDM1	DRAP1	1.414105910369394
PRDM1	MGAT2	1.4138272298358259
SREBF2	TINF2	1.4130256014186404
MEF2D	AGAP2	1.4129960703828064
MAF	MZT1	1.4125465141498812
TGIF2	ANP32E	1.4123747081068487
STAT1	USP15	1.411779618122868
NFKB2	PEF1	1.411690201662037
HIC2	POGZ	1.4112641702145188
STAT1	IFI6	1.41121942329211
NFKB1	STIP1	1.4110965859644018
RELB	RAB21	1.4110905285768571
ERF	SDHB	1.4106314579949661
FOSL2	LAMTOR2	1.4105969216004943
NFKB1	HAX1	1.410336752329578
STAT3	GTF2H3	1.4101518769914199
REL	ATP2A2	1.410067756290872
MAF	STIP1	1.4099011861349684
STAT1	RFX5	1.4098653885609949
IRF9	IFITM1	1.4098077903949
IRF1	USP15	1.409804492411154
ETV6	LAG3	1.4098037829849641
TGIF2	OAS2	1.4092582685950057
IRF4	GCH1	1.409137873810832
MAFG	ABTB2	1.4089842674111237
TFDP1	AURKAIP1	1.4089558050694118
HIC2	OTUD1	1.4087147992200078
TP53	NDST2	1.408659287286741
TFDP1	RGS16	1.4086495221788784
RFX5	ZDHHC18	1.408630102717032
FOXO4	MARCH9	1.4085270802559975
IRF1	PARP11	1.4084825297788925
IRF9	IRF7	1.4084505367667806
STAT1	ZC3H12A	1.4082887549658358
IRF4	GTF2H3	1.4081413572056107
BATF	OAS2	1.4080736740843016
PRDM1	SESN2	1.4080652361911583
RBPJ	VDAC2	1.4080191173869285
FOXP1	CCDC84	1.4079285871468032
LEF1	PCF11	1.4077426729973888
IRF1	IFI6	1.407500233676552
IRF1	NFKBIA	1.4070046242448788
HIC2	MLLT11	1.4069844954227657
RELB	SDF4	1.406719975472556
FOXP1	TMEM41B	1.4066945626853267
ZEB1	TRAF3IP3	1.4064669696606173
JUNB	HSPH1	1.406150834202419
TBX21	SRGN	1.4060454711382548
RBPJ	ESRRA	1.4060356452038394
FOSL2	PRDX1	1.4058209790526144
TBX21	TUBA1C	1.405658081029904
NFKB2	TARBP2	1.4056427688715711
IRF1	IRF7	1.4056282192978646
STAT3	WDR74	1.4055947875932309
LEF1	BUB3	1.4053085560204817
JUNB	MRPL17	1.4051892308735772
HIF1A	SDF4	1.4051315784310963
SREBF2	PSME2	1.4050931238847708
LEF1	WDR37	1.4049682113584439
NFIL3	LPCAT3	1.4047624625567972
HSF2	EFEMP2	1.4045056258808715
PBX3	PPOX	1.4044538056653484
IRF4	ENSA	1.404008113703402
FOSL2	HSPH1	1.4038725274003259
MAFG	SRSF10	1.4037845023089617
RUNX3	SLC25A44	1.4037705444019322
STAT1	IRF7	1.403646624855941
IRF1	RFX5	1.4034653586171517
BATF	LAMTOR2	1.403407150946817
FOXO3	KLHDC2	1.403341999718903
CTCF	WNK1	1.4032425108073272
SREBF2	YBX1	1.403126591994241
NFIL3	DIAPH3	1.4025794902322715
HSF2	TCP11L2	1.402567030548764
E2F6	TUBA1B	1.4024746427766106
SREBF2	YARS	1.402368597001743
SREBF2	YIF1A	1.4022618637072868
FOXP3	HYOU1	1.4019954695652146
SRF	PSMB5	1.4018719720662485
ZEB1	C11orf54	1.4017987211893128
IRF9	DRAP1	1.4017169947528019
IRF7	WDR74	1.4016178859541968
ETV6	OAS2	1.4015226212685594
SPIC	CALCOCO1	1.4012173032388042
PRDM1	PRMT5	1.400956547951478
STAT3	DHCR24	1.400864214346286
FOXB1	DIABLO	1.400695148687985
HIC2	EPB41	1.4006820603142442
PBX3	BSDC1	1.4006796994958703
ETV6	ZBTB7B	1.4005543176777435
TP53	USP5	1.4003620880929672
STAT1	TRIM21	1.400323747988068
EGR2	SDF4	1.40029755532594
NFIL3	PEA15	1.4000960605272326
EGR2	AURKAIP1	1.3999578225079725
IRF7	STAMBPL1	1.3999097583526718
NFKB1	IFITM1	1.399585642760043
LEF1	EEA1	1.3994299989598304
IRF7	SNRPE	1.3993886995182088
IRF7	MIIP	1.3989920065841503
FOXO3	PCBP2	1.3989612755852
